overall_composition,Na2O at %,Fe2O3 at %,P2O5 at %,Na2O wt %,Fe2O3 wt %,P2O5 wt %,predicted_phases,salt_cation_loading,wf_volume_per_100g_salt,melting_temperature_value,cohesive_energy_value,bulk_modulus_value,has_no_salt_cations,has_no_phophates,has_unreacted_element,has_unreacted_waste_salt,has_binary_alkali_compounds,total_filter_score
Na0.55O2.65Fe1.25P0.2,27.500000000000004,62.5,10.0,13.006498582475507,76.16166200949188,10.831839408032613,0.78*Fe2O3 + 0.19*Na3PO4 + 0.03*Na4P2O7,9.648968133337426,101.10684164335956,2103.3341312500056,4.833081430570815,124.86004398862971,False,False,False,False,True,-1
Na0.55O2.6Fe1.3P0.15,27.500000000000004,65.0,7.5,12.962619257079727,78.94090828283747,8.096472460082804,0.71*Fe2O3 + 0.18*Na3PO4 + 0.12*NaFeO2,9.616415928009337,98.59787856553466,2114.8950132353007,4.859024521318465,127.95518516449528,False,False,False,False,True,-1
Na0.55O2.55Fe1.35P0.1,27.500000000000004,67.5,5.0,12.91903500286285,81.70146521976015,5.379499777377002,0.61*Fe2O3 + 0.28*NaFeO2 + 0.11*Na3PO4,9.584082623439528,95.46023535953451,2129.893663888895,4.89517958894295,131.9173475863516,False,False,False,False,True,-1
Na0.55O2.5Fe1.4P0.05,27.500000000000004,70.0,2.5,12.87574285344258,84.44352070616891,2.680736440388496,0.53*Fe2O3 + 0.42*NaFeO2 + 0.05*Na3PO4,9.55196601899513,92.3225921535344,2143.313509210532,4.927528859975385,135.46244027959153,False,False,False,False,True,-1
Na0.55O2.45Fe1.45,27.500000000000004,72.5,0.0,12.832739882065633,87.16726011793436,0.0,0.45*Fe2O3 + 0.55*NaFeO2,9.520063943442386,89.1849489475341,2155.3913700000057,4.956643203904578,138.6530237035075,False,True,False,False,False,-1
Na0.6O3.8P1.4,30.0,0.0,70.0,15.763388979137789,0.0,84.23661102086221,0.60*NaPO3 + 0.40*P2O5,11.694187868365848,136.81118721461004,2027.2420530000054,4.152855512297338,141.89634334126362,False,False,False,False,True,-1
Na0.6O3.75Fe0.05P1.35,30.0,2.5,67.5,15.704329825555469,3.3718391821408047,80.92383099230373,0.63*NaPO3 + 0.32*P2O5 + 0.05*Fe(PO3)3,11.65037439410265,134.92461043852057,2034.174038421058,4.334345731129979,142.51506398686064,False,False,False,False,True,-1
Na0.6O3.7Fe0.1P1.3,30.0,5.0,65.0,15.645711562484227,6.718506789511062,77.63578164800471,0.67*NaPO3 + 0.22*P2O5 + 0.11*Fe(PO3)3,11.606887997758575,133.03803366243125,2041.8762444444499,4.5360015298329115,143.2025313708573,False,False,False,False,True,-1
Na0.6O3.65Fe0.15P1.25,30.0,7.5,62.5,15.58752927125609,10.040283641533037,74.37218708721088,0.71*NaPO3 + 0.18*Fe(PO3)3 + 0.12*P2O5,11.56372503038311,131.15145688634144,2050.4845923529465,4.761381540147958,143.97087727061827,False,False,False,False,True,-1
Na0.6O3.6Fe0.2P1.2,30.0,10.0,60.0,15.529778106096954,13.337446395930616,71.13277549797243,0.75*NaPO3 + 0.25*Fe(PO3)3,11.520881897102452,129.264880110252,2060.1689837500053,5.014934051752381,144.8352664078494,False,False,False,False,True,-1
Na0.6O3.55Fe0.25P1.15,30.0,12.5,57.49999999999999,15.47245329278121,16.610267625539343,67.91727908167945,0.67*NaPO3 + 0.20*Fe(PO3)3 + 0.13*NaFeP2O7,11.478355056121686,126.7972691279083,2073.8261386666723,5.029101690886204,146.3112353737911,False,False,False,False,True,-1
Na0.6O3.5Fe0.3P1.1,30.0,15.0,55.00000000000001,15.415550127316083,19.859015893421553,64.72543397926238,0.29*NaFeP2O7 + 0.57*NaPO3 + 0.14*Fe(PO3)3,11.436141017748703,124.32965814556405,2089.434315714291,5.045293278467714,147.99805704915303,False,False,False,False,True,-1
Na0.6O3.45Fe0.35P1.05,30.0,17.5,52.5,15.359063974654891,23.083955826330083,61.55698019901502,0.46*NaFeP2O7 + 0.46*NaPO3 + 0.08*Fe(PO3)3,11.394236343439406,121.86204716322023,2107.4437507692364,5.063975879523304,149.94438975149373,False,False,False,False,True,-1
Na0.6O3.4Fe0.4P1,30.0,20.0,50.0,15.302990267438462,26.28534818656271,58.41166154599882,0.67*NaFeP2O7 + 0.33*NaPO3,11.352637644864364,119.39443618087597,2128.4547583333388,5.085772247421492,152.21511123755795,False,False,False,False,True,-1
Na0.6O3.35Fe0.45P0.95,30.0,22.5,47.5,15.247324504764068,29.4634499422484,55.28922555298753,0.89*NaFeP2O7 + 0.08*Na4P2O7 + 0.03*Na3Fe3(PO4)4,11.311341582995205,117.02658724085875,2157.9190466216273,5.125259287368236,154.43759225978945,False,False,False,False,True,-1
Na0.6O3.3Fe0.5P0.9,30.0,25.0,45.0,15.192062250981083,32.618514336105,52.18942341291392,0.73*NaFeP2O7 + 0.20*Na3Fe3(PO4)4 + 0.07*Na4P2O7,11.270344867211383,117.44732370966882,2159.6927316666724,5.129390573363825,154.54284746263374,False,False,False,False,True,-1
Na0.6O3.25Fe0.55P0.85,30.0,27.500000000000004,42.5,15.137199134512766,35.7507909527072,49.11200991278003,0.48*Na3Fe3(PO4)4 + 0.48*NaFeP2O7 + 0.04*Na4P2O7,11.229644254426034,117.86806017847908,2162.546051086963,5.136036555182814,154.71217104981798,False,False,False,False,True,-1
Na0.6O3.2Fe0.6P0.8,30.0,30.0,40.0,15.082730846703488,38.8605257843021,46.056743368994404,1.00*Na3Fe3(PO4)4,11.18923654823082,118.28879664728913,2167.896025000006,5.148497771093417,155.0296527757884,False,False,False,False,False,0
Na0.6O3.15Fe0.65P0.75,30.0,32.5,37.5,15.028653140690718,41.947961295209026,43.023385564100266,0.70*Na3Fe3(PO4)4 + 0.10*Na3Fe(PO4)2 + 0.20*Fe2O3,11.149118598059033,115.06521342728972,2155.262526500006,5.0761888568596145,147.7460837251983,False,False,False,False,False,0
Na0.6O3.1Fe0.7P0.7,30.0,35.0,35.0,14.974961830301229,45.01333648483873,40.01170168486004,0.50*Na3Fe3(PO4)4 + 0.17*Na3Fe(PO4)2 + 0.33*Fe2O3,11.109287298366796,111.84163020729022,2146.8401941666725,5.02798291403708,142.89037102480492,False,False,False,False,False,0
Na0.6O3.05Fe0.75P0.65,30.0,37.5,32.5,14.92165278897086,48.05688694936679,37.021460261662355,0.36*Na3Fe3(PO4)4 + 0.21*Na3Fe(PO4)2 + 0.43*Fe2O3,11.069739587831668,108.6180469872907,2140.8242425000058,4.993550097735268,139.42200481023818,False,False,False,False,False,0
Na0.6O3Fe0.8P0.6,30.0,40.0,30.0,14.868721948687282,51.078844942094136,34.05243310921859,0.25*Na3Fe3(PO4)4 + 0.25*Na3Fe(PO4)2 + 0.50*Fe2O3,11.030472448568274,105.3944637672915,2136.312278750006,4.967725485508911,136.82073014931314,False,False,False,False,False,0
Na0.6O2.95Fe0.85P0.55,30.0,42.5,27.500000000000004,14.816165298955172,54.079439432527586,31.104395268517226,0.17*Na3Fe3(PO4)4 + 0.28*Na3Fe(PO4)2 + 0.56*Fe2O3,10.991482905360732,102.17088054729224,2132.802973611117,4.947639675999521,134.79751652414922,False,False,False,False,False,0
Na0.6O2.9Fe0.9P0.5,30.0,45.0,25.0,14.763978885783272,57.05889616421182,28.177124950004913,0.30*Na3Fe(PO4)2 + 0.60*Fe2O3 + 0.10*Na3Fe3(PO4)4,10.952768024911103,98.94729732729282,2129.995529500006,4.9315710283920104,133.17894562401807,False,False,False,False,False,0
Na0.6O2.85Fe0.95P0.45,30.0,47.5,22.5,14.712158810692747,60.01743771134325,25.270403477964,0.32*Na3Fe(PO4)2 + 0.64*Fe2O3 + 0.05*Na3Fe3(PO4)4,10.914324915103725,95.72371410729342,2127.6985297727333,4.918423953076773,131.85466034209261,False,False,False,False,False,0
Na0.6O2.8Fe1P0.4,30.0,50.0,20.0,14.660701229746412,62.95528353419607,22.384015236057518,0.33*Na3Fe(PO4)2 + 0.67*Fe2O3,10.876150724285086,92.50013088729399,2125.784363333339,4.907468056980742,130.75108927382138,False,False,False,False,False,0
