,Na2O,CaO,SiO2,Tliq_true,Tliq_pred
108,0.0,0.7,0.3,2310.4577,2342.299999999996
109,0.05,0.65,0.3,2186.5346,1854.2699999999966
110,0.1,0.6,0.3,2118.2558,1667.319999999997
111,0.15,0.55,0.3,2055.0808,1670.449999999997
112,0.2,0.5,0.3,1996.5639999999999,1680.229999999997
113,0.25,0.45,0.3,1942.2955000000002,1688.0799999999972
114,0.3,0.4,0.3,1891.8559,1659.8499999999967
115,0.4,0.3,0.3,1800.3772,1456.5299999999975
116,0.45,0.25,0.3,1757.7514,1406.2299999999973
117,0.5,0.2,0.3,1715.1263,1405.8199999999974
118,0.55,0.15,0.3,1668.1486,1311.5099999999977
119,0.65,0.05,0.3,1465.1082999999999,1297.0899999999976
120,0.7,0.0,0.3,1352.9317999999998,1301.5999999999976
121,0.0,0.65,0.35,2387.8735,2169.049999999996
122,0.05,0.6,0.35,2117.3727,1692.149999999997
123,0.1,0.55,0.35,1782.8035,1662.249999999997
124,0.15,0.5,0.35,1482.7008,1684.059999999997
125,0.2,0.45,0.35,1433.5193,1685.519999999997
126,0.25,0.4,0.35,1465.7042999999999,1676.499999999997
127,0.35,0.3,0.35,1491.9171000000001,1546.3499999999972
128,0.4,0.25,0.35,1489.5389,1416.0299999999975
