,CaO,Al2O3,SiO2,Tliq_true,Tliq_pred
117,0.2,0.5,0.3,2047.1191,1911.8849999999966
118,0.15,0.55,0.3,2101.8741,1972.6599999999964
119,0.05,0.65,0.3,2166.9267,2094.8099999999963
120,0.0,0.7,0.3,2180.8801,2179.969999999996
121,0.65,0.0,0.35,2387.8735,2198.279999999996
122,0.6,0.05,0.35,2159.2633,1858.1399999999967
123,0.55,0.1,0.35,1869.9487,1749.0899999999967
124,0.5,0.15,0.35,1787.8112,1746.2799999999968
125,0.45,0.2,0.35,1780.8078,1770.7199999999968
126,0.4,0.25,0.35,1724.4962999999998,1769.0299999999968
127,0.3,0.35,0.35,1843.0212999999999,1823.7199999999968
128,0.25,0.4,0.35,1931.8980000000001,1842.8099999999968
129,0.2,0.45,0.35,2004.8694,1858.6949999999968
130,0.15,0.5,0.35,2061.4208,1902.2399999999966
131,0.0,0.65,0.35,2143.6734,2176.504999999996
132,0.6,0.0,0.4,2041.2388,2046.6099999999965
133,0.55,0.05,0.4,1785.9164999999998,1687.169999999997
134,0.5,0.1,0.4,1624.1048999999998,1691.4699999999968
135,0.45,0.15,0.4,1675.7094000000002,1682.8365002441378
136,0.4,0.2,0.4,1654.6844999999998,1693.1299999999967
137,0.35,0.25,0.4,1733.841,1728.2499999999968
138,0.3,0.3,0.4,1781.2193000000002,1800.3749999999968
139,0.25,0.35,0.4,1877.0502999999999,1832.8499999999967
140,0.2,0.4,0.4,1954.6077999999998,1850.9399999999969
141,0.15,0.45,0.4,2014.5151,1868.8449999999968
142,0.1,0.5,0.4,2057.9939,1887.6699999999964
143,0.05,0.55,0.4,2086.6321,1931.1699999999964
144,0.0,0.6,0.4,2101.9126,2165.469999999996
145,0.55,0.0,0.45,1783.3881999999999,1755.6299999999967
146,0.5,0.05,0.45,1691.2523,1695.0099999999968
147,0.45,0.1,0.45,1571.0412999999999,1661.509999999997
148,0.4,0.15,0.45,1656.9005000000002,1671.5440002441378
149,0.35,0.2,0.45,1752.7055999999998,1723.5199999999968
150,0.3,0.25,0.45,1805.7662999999998,1798.4549999999967
151,0.25,0.3,0.45,1819.2399999999998,1831.1899999999969
152,0.2,0.35,0.45,1898.4272,1842.2199999999968
153,0.15,0.4,0.45,1963.7995999999998,1863.3099999999965
154,0.1,0.45,0.45,2010.4791999999998,1845.6399999999967
155,0.05,0.5,0.45,2040.9912,1884.1349999999966
156,0.0,0.55,0.45,2057.0357,2194.719999999996
157,0.5,0.0,0.5,1813.3375999999998,1809.9499999999969
158,0.45,0.05,0.5,1724.4481999999998,1724.0399999999968
159,0.4,0.1,0.5,1568.6996,1690.149999999997
160,0.35,0.15,0.5,1721.8676999999998,1686.9335021972627
161,0.3,0.2,0.5,1803.5569,1774.4949999999967
162,0.25,0.25,0.5,1828.1522,1822.9999999999968
163,0.2,0.3,0.5,1836.906,1833.7999999999968
164,0.15,0.35,0.5,1912.3217,1839.0599999999968
165,0.1,0.4,0.5,1963.3541,1849.9109997558562
166,0.05,0.45,0.5,1995.5095999999999,1854.2049999999967
167,0.0,0.5,0.5,2011.6477,2186.9149999999963
168,0.45,0.0,0.55,1789.5495,1776.6049999999968
169,0.4,0.05,0.55,1708.2363999999998,1660.8019995117158
